COD_PRODUTO;PRODUTO;CLASSIFICACAO
018624;NOTEBOOK ACER E1 571 6665 C I5 4G HD500 W8;TECNOLOGIA INFORMATICA NOTEBOOK
011700;RADIO 9 FAIXAS RP 1108;TECNOLOGIA AUDIO SOM PORTATIL
016702;ESTOFADO CANTO MICHELLY CARBONO 5.40;MOVEIS SALA DE ESTAR SOFA
024735;SAPATEIRA C PORTA C PES CINZA/RUSTICO;MOVEIS QUARTO COMODA
020922;CONJ.075 4 C.COPACABANA C ENC.BR TR BR TP GTO;MOVEIS COZINHA CONJUNTO MESA
A01570;CONECTOR PLASTICO FEMEA CFE-1207 ECCOFE;ALMOXARIFADO
A00783;BORRACHA DO ESTABILIZADOR DIANT. ACCELO 815;ALMOXARIFADO
009995;FURADEIRA 1 2 C KIT HD 500 K B2 B.E DECKER;ELETRO UTILIDADES DOMESTICAS CAIXA DE FERRAMENTA
100012;ALUGUEIS IMOVEIS PJ;SERVICOS
017949;RADIO C TOCA CD USB PORT AZ380SX 78;TECNOLOGIA AUDIO MINI SYSTEM
023844;SECADOR GAMA LUMINA ION ASS2185;ELETRO BELEZA E SAUDE SECADOR DE CABELO
013321;BATEDEIRA B-05 PRATICA 220V;ELETRO ELETROPORTATEIS BATEDEIRA
008080;APARELHO TEL.S FIO 900 MHz BASICO RCA;CELULAR CELULAR CELULAR
S00077;SERVICO DE PROTECAO TOTAL 39;SERVICOS SEGURO CELULAR
A02244;END LAZZUDUR PU LATA C/225ML SHERWIN WILLIAMS;ALMOXARIFADO
017018;PELICULA INVISIVEL LG OPTIMUS HUB E510;CELULAR ACESSORIO
009987;CAMA SOLTEIRO REF 090 NCECL;MOVEIS QUARTO CAMA
012997;CAMA CASAL ABSOLUT MF;MOVEIS QUARTO CAMA
020292;KIT 6PTS 2306 535 TEKA BROWN;MOVEIS COZINHA KIT
017909;MINI SYSTEM MS-8080 LET SEMP TCL;TECNOLOGIA AUDIO MINI SYSTEM
A00949;BOTA PVC CANO LONGO - 42;ALMOXARIFADO
A01510;KIT ESTABILIZADOR 932;ALMOXARIFADO
S0004T;SERVICO DE PROTECAO TOTAL 13;SERVICOS SEGURO CELULAR
005605;BICICLETA 16 S M MASCULINA IBN;LAZER ESPORTE E FITNESS BICICLETA
024087;PULSO ACO PULSEIRA ACO QZ 2115KQF/1A TECHNOS;CELULAR RELOGIO RELOGIO
009713;SMART CROSS HOT WHEELS 2177;LAZER BRINQUEDOS MINI VEICULO
A00379;SWITCH 8 PORTAS 10 100;ALMOXARIFADO
019712;COMODA MADRI 5 GAV.E SAP.BR PT;MOVEIS QUARTO COMODA
RHA00646;CALCA 204 FEM   VEND LOJA   46;ALMOXARIFADO
020856;MESA ESTER CR RT 1.47X0
021643;CORTADOR QG3329/15 MULTIGROOM C/3 ACESS. WALI;ELETRO BELEZA E SAUDE CORTADOR DE CABELO
A01173;CALIB PNEUS PRES MAX 200PSI/MAN 2&QUOT;ALMOXARIFADO
018834;LG OPTIMUS G PRO LITE D685 PRETO DUAL;CELULAR SMARTPHONE
020518;BLU ZOEY 2.4 T178 PTO AMARELO;CELULAR CELULAR CELULAR
A01898;FITA ADESIVA SUPERFIX 12X100 WILTON;ALMOXARIFADO
015744;MESA COMPUTADOR MARIANA BR;MOVEIS ESCRITORIO MESAS DE COMPUTADOR
021316;CONJ.PARIS 1
014340;ROUPEIRO C COMODA C PES MF;MOVEIS QUARTO GUARDA-ROUPA
024802;ESTANTE LETICIA PLUS RUSTICO/CAFE;MOVEIS SALA DE ESTAR ESTANTE
RHA00356;CALCA 205 MAS   VEND LOJA   56;ALMOXARIFADO
019237;KIT CAPA COM PELICULA S3 DUOS PRETO;CELULAR ACESSORIO
015365;NOTEBOOK STI IS 1558 CI3350M 4GB HD500 W7 HP6;TECNOLOGIA INFORMATICA NOTEBOOK
A01816;DISCO CORTE FERRO 4.1/2 ALCAR;ALMOXARIFADO
015115;LIQUID.SOLUTION 8 VEL.MALLORY;ELETRO ELETROPORTATEIS LIQUIDIFICADOR
011286;LG KP 109 TIM;CELULAR SMARTPHONE
A01964;TORNEIRA GASOLINA TIT 95/99/05 CG SCUD;ALMOXARIFADO
A01336;BUCHA ESTABILIZAD MB 608/708;ALMOXARIFADO
013494;SANDUICHEIRA PREMIUM GRILL EASY BLACK S 06;ELETRO ELETROPORTATEIS SANDUICHEIRA
012972;CONJ.MACEDONIA 155 C 6 CAD.AZ;MOVEIS SALA DE JANTAR MESA
010633;MOTOROLA Z6 BASICO LARANJA GSM;CELULAR SMARTPHONE
A01798;CAPA 2 TRAMAS-08 1/2 PCAPAT;ALMOXARIFADO
005283;ASPIRADOR MONDO Z 1160;ELETRO ELETROPORTATEIS ASPIRADOR
